"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"SAMEA2630384"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"LTI225-03"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"HSS T3 C18 (1.8 µm, 1.0 x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"DAD detection"	"LTI225-03-1neg_1-A,7_01_24298"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01-github/uvdata.fake/LTI225-03-1neg_1-A,7_01_24298.cdf"	"DAD data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630384"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"LTI225-03"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"HSS T3 C18 (1.8 µm, 1.0 x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"DAD detection"	"LTI225-03-2neg_1-B,3_01_24302"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01-github/uvdata.fake/LTI225-03-2neg_1-B,3_01_24302.cdf"	"DAD data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630384"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"LTI225-03"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"HSS T3 C18 (1.8 µm, 1.0 x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"DAD detection"	"LTI225-03-3neg_1-C,8_01_24315"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01-github/uvdata.fake/LTI225-03-3neg_1-C,8_01_24315.cdf"	"DAD data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630401"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"LTI225-15"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"HSS T3 C18 (1.8 µm, 1.0 x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"DAD detection"	"LTI225-15-1neg_1-A,5_01_24530"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01-github/uvdata.fake/LTI225-15-1neg_1-A,5_01_24530.cdf"	"DAD data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630401"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"LTI225-15"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"HSS T3 C18 (1.8 µm, 1.0 x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"DAD detection"	"LTI225-15-2neg_1-E,6_01_24642"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01-github/uvdata.fake/LTI225-15-2neg_1-E,6_01_24642.cdf"	"DAD data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630401"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"LTI225-15"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"HSS T3 C18 (1.8 µm, 1.0 x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"DAD detection"	"LTI225-15-3neg_1-C,4_01_24545"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01-github/uvdata.fake/LTI225-15-3neg_1-C,4_01_24545.cdf"	"DAD data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630402"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"LTI225-27"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"HSS T3 C18 (1.8 µm, 1.0 x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"DAD detection"	"LTI225-27-1neg_1-B,7_01_24462"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01-github/uvdata.fake/LTI225-27-1neg_1-B,7_01_24462.cdf"	"DAD data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630402"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"LTI225-27"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"HSS T3 C18 (1.8 µm, 1.0 x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"DAD detection"	"LTI225-27-2neg_1-A,1_01_24448"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01-github/uvdata.fake/LTI225-27-2neg_1-A,1_01_24448.cdf"	"DAD data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630402"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"LTI225-27"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"HSS T3 C18 (1.8 µm, 1.0 x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"DAD detection"	"LTI225-27-3neg_1-C,5_01_24468"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01-github/uvdata.fake/LTI225-27-3neg_1-C,5_01_24468.cdf"	"DAD data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630423"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"LTI225-39"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"HSS T3 C18 (1.8 µm, 1.0 x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"DAD detection"	"LTI225-39-1neg_1-F,1_01_24333"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01-github/uvdata.fake/LTI225-39-1neg_1-F,1_01_24333.cdf"	"DAD data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
