"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"SAMEA2630384"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-03"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LTI225-03-1pos_1-A,7_01_24248"	"LTI225-03-1pos_1-A,7_01_24248.mzML"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_mtbls18_POS_mass_spectrometry_v2_maf.tsv"
"SAMEA2630384"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-03"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LTI225-03-2pos_1-B,3_01_24252"	"LTI225-03-2pos_1-B,3_01_24252.mzML"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_mtbls18_POS_mass_spectrometry_v2_maf.tsv"
"SAMEA2630384"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-03"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LTI225-03-3pos_1-C,8_01_24267"	"LTI225-03-3pos_1-C,8_01_24267.mzML"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_mtbls18_POS_mass_spectrometry_v2_maf.tsv"
"SAMEA2630401"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-15"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LTI225-15-1pos_1-A,5_01_24503"	"LTI225-15-1pos_1-A,5_01_24503.mzML"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_mtbls18_POS_mass_spectrometry_v2_maf.tsv"
"SAMEA2630401"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-15"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LTI225-15-2pos_1-E,6_01_24591"	"LTI225-15-2pos_1-E,6_01_24591.mzML"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_mtbls18_POS_mass_spectrometry_v2_maf.tsv"
"SAMEA2630401"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-15"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LTI225-15-3pos_1-C,4_01_24518"	"LTI225-15-3pos_1-C,4_01_24518.mzML"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_mtbls18_POS_mass_spectrometry_v2_maf.tsv"
"SAMEA2630402"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-27"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LTI225-27-1pos_1-B,7_01_24411"	"LTI225-27-1pos_1-B,7_01_24411.mzML"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_mtbls18_POS_mass_spectrometry_v2_maf.tsv"
"SAMEA2630402"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-27"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LTI225-27-2pos_1-A,1_01_24397"	"LTI225-27-2pos_1-A,1_01_24397.mzML"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_mtbls18_POS_mass_spectrometry_v2_maf.tsv"
"SAMEA2630402"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-27"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LTI225-27-3pos_1-C,5_01_24417"	"LTI225-27-3pos_1-C,5_01_24417.mzML"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_mtbls18_POS_mass_spectrometry_v2_maf.tsv"
"SAMEA2630423"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-39"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LTI225-39-1pos_1-F,1_01_24284"	"LTI225-39-1pos_1-F,1_01_24284.mzML"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_mtbls18_POS_mass_spectrometry_v2_maf.tsv"
"SAMEA2630423"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-39"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LTI225-39-2pos_1-D,3_01_24270"	"LTI225-39-2pos_1-D,3_01_24270.mzML"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_mtbls18_POS_mass_spectrometry_v2_maf.tsv"
"SAMEA2630423"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-39"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LTI225-39-3pos_1-E,6_01_24281"	"LTI225-39-3pos_1-E,6_01_24281.mzML"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_mtbls18_POS_mass_spectrometry_v2_maf.tsv"
"SAMEA2630422"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-51"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LTI225-51-1pos_1-D,1_01_24578"	"LTI225-51-1pos_1-D,1_01_24578.mzML"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_mtbls18_POS_mass_spectrometry_v2_maf.tsv"
"SAMEA2630422"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-51"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LTI225-51-2pos_1-C,4_01_24572"	"LTI225-51-2pos_1-C,4_01_24572.mzML"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_mtbls18_POS_mass_spectrometry_v2_maf.tsv"
"SAMEA2630422"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-51"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LTI225-51-3pos_2-B,2_01_24664"	"LTI225-51-3pos_2-B,2_01_24664.mzML"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_mtbls18_POS_mass_spectrometry_v2_maf.tsv"
"SAMEA2630395"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-63"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LTI225-63-1pos_1-F,7_01_24600"	"LTI225-63-1pos_1-F,7_01_24600.mzML"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_mtbls18_POS_mass_spectrometry_v2_maf.tsv"
"SAMEA2630395"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-63"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LTI225-63-2pos_1-B,2_01_24508"	"LTI225-63-2pos_1-B,2_01_24508.mzML"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_mtbls18_POS_mass_spectrometry_v2_maf.tsv"
"SAMEA2630395"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-63"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LTI225-63-3pos_1-A,6_01_24504"	"LTI225-63-3pos_1-A,6_01_24504.mzML"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_mtbls18_POS_mass_spectrometry_v2_maf.tsv"
"SAMEA2630366"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-09"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LTI225-09-1pos_1-D,8_01_24275"	"LTI225-09-1pos_1-D,8_01_24275.mzML"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_mtbls18_POS_mass_spectrometry_v2_maf.tsv"
"SAMEA2630366"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-09"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LTI225-09-2pos_1-E,4_01_24279"	"LTI225-09-2pos_1-E,4_01_24279.mzML"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_mtbls18_POS_mass_spectrometry_v2_maf.tsv"
"SAMEA2630366"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-09"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LTI225-09-3pos_1-F,2_01_24285"	"LTI225-09-3pos_1-F,2_01_24285.mzML"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_mtbls18_POS_mass_spectrometry_v2_maf.tsv"
"SAMEA2630414"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-21"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LTI225-21-1pos_1-D,7_01_24428"	"LTI225-21-1pos_1-D,7_01_24428.mzML"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_mtbls18_POS_mass_spectrometry_v2_maf.tsv"
"SAMEA2630414"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-21"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LTI225-21-2pos_1-F,7_01_24445"	"LTI225-21-2pos_1-F,7_01_24445.mzML"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_mtbls18_POS_mass_spectrometry_v2_maf.tsv"
"SAMEA2630414"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-21"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LTI225-21-3pos_1-D,3_01_24424"	"LTI225-21-3pos_1-D,3_01_24424.mzML"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_mtbls18_POS_mass_spectrometry_v2_maf.tsv"
