"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Detector]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Signal range]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Resolution]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"SAMEA2630384"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-03"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-03-1neg_1-A,7_01_24298"	"LTI225-03-1neg_1-A,7_01_24298.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630384"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-03"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-03-2neg_1-B,3_01_24302"	"LTI225-03-2neg_1-B,3_01_24302.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630384"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-03"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-03-3neg_1-C,8_01_24315"	"LTI225-03-3neg_1-C,8_01_24315.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630401"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-15"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-15-1neg_1-A,5_01_24530"	"LTI225-15-1neg_1-A,5_01_24530.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630401"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-15"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-15-2neg_1-E,6_01_24642"	"LTI225-15-2neg_1-E,6_01_24642.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630401"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-15"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-15-3neg_1-C,4_01_24545"	"LTI225-15-3neg_1-C,4_01_24545.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630402"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-27"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-27-1neg_1-B,7_01_24462"	"LTI225-27-1neg_1-B,7_01_24462.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630402"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-27"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-27-2neg_1-A,1_01_24448"	"LTI225-27-2neg_1-A,1_01_24448.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630402"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-27"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-27-3neg_1-C,5_01_24468"	"LTI225-27-3neg_1-C,5_01_24468.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630423"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-39"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-39-1neg_1-F,1_01_24333"	"LTI225-39-1neg_1-F,1_01_24333.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
