"Source Name"	"Characteristics[genotype]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Material Type"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Protocol REF"	"Protocol REF"	"Sample Name"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sampling time]"	"Unit[UnknownUnitType]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Hybridization Name"	"Array Design REF"	"Protocol REF"	"Scan Name"	"Image File"	"Array Data File"	"Array Data Matrix File"	"Protocol REF"	"Normalization Name"	"Derived Array Data File"	"Protocol REF"	"Data Transformation Name"	"Derived Array Data Matrix File"	"Comment[Data Repository]"	"Comment[Data Record Accession]"
"3"	"40"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630384"	"40"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-03"	"labeling"	"A704-03"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-03"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-03.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"27"	"40"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630402"	"40"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-27_2"	"labeling"	"A704-27_2"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-27_2"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-27_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"51"	"40"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630422"	"40"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-51_2"	"labeling"	"A704-51_2"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-51_2"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-51_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"15"	"40"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630401"	"40"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-15"	"labeling"	"A704-15"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-15"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-15.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"39"	"40"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630423"	"40"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-39"	"labeling"	"A704-39"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-39"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-39.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"63"	"40"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630395"	"40"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-63"	"labeling"	"A704-63"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-63"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-63.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"4"	"D"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630367"	"D"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-04"	"labeling"	"A704-04"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-04"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-04.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"28"	"D"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630381"	"D"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-28"	"labeling"	"A704-28"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-28"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-28.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"52"	"D"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630405"	"D"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-52_2"	"labeling"	"A704-52_2"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-52_2"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-52_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"16"	"D"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630385"	"D"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-16_2"	"labeling"	"A704-16_2"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-16_2"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-16_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
