"Source Name"	"Characteristics[genotype]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Material Type"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Protocol REF"	"Protocol REF"	"Sample Name"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sampling time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"3"	"40"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630384"	"40"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""
"27"	"40"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630402"	"40"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""
"51"	"40"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630422"	"40"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""
"15"	"40"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630401"	"40"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""
"39"	"40"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630423"	"40"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""
"63"	"40"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630395"	"40"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""
"4"	"D"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630367"	"D"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""
"28"	"D"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630381"	"D"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""
"52"	"D"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630405"	"D"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""
"16"	"D"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630385"	"D"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""
