[MSI]													
Submission Title	Metabolic and transcriptional response of Arabidopsis thaliana wildtype and mutants to Phytophtora infestans												
Submission Identifier	MTBLS18												
Submission Description	The oomycete P. infestans is the causal agent of late blight, the most devastating potato disease. In contrast to potato, A. thaliana is able to successfully prevent colonization of the pathogen due to a multi-layered nonhost resistance. Several mutants have been isolated which are impaired in penetration resistance. A mutation in the gene PEN2, which encodes for an enzyme involved in indole glucosinolate metabolism (Bednarek et al. (2009)), results in the loss of penetration resistance against P. infestans (Lipka et al. (2005)). Despite its ability to penetrate epidermal cells of pen2 mutant plants, P. infestans is still not able to colonize these plants. Additional mutants were isolated by Kopischke et al. (2013) which show enhanced defense responses upon infection with P. infestans: pen2erp1 and pen2erp2, and backcrossed mutants erp140 and erp2D. We used six different plant lines, the wildtype-like gl1, and the five different mutants (pen2, pen2erp1, pen2erp2, erp2D, erp140). The plants were either infected with P. infestans spores or treated with water as control, and harvested 6h and 12h after treatment. The experiment was repeated three times with different P. infestans cultures, resulting in biological triplicates, for an overall of 6 x 2 x 2 x 3 = 72 samples.												
Submission Version	1.2												
Submission Reference Layer	false												
Submission Release Date	2014/03/19												
Submission Update Date	2014/03/19												
Publication PubMed ID	23072470												
Publication DOI													
Term Source Name	EFO	NCBITaxon	UO	PO									
Term Source URI	http://bioportal.bioontology.org/ontologies/50608	http://bioportal.bioontology.org/ontologies/47845	http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=UO	http://bioportal.bioontology.org/ontologies/50642									
Term Source Version	50608	47845	Jun 2010	50642									
Term Source Description	Experimental Factor Ontology	National Center for Biotechnology Information (NCBI) Organismal Classification	Unit Ontology	Plant Ontology									
Database Name													
Database ID													
Database URI													
													
[SCD]													
Sample Name	Organism	Term Source REF	Term Source ID	Characteristic[Organism part]	Term Source REF	Term Source ID	Comment[other]	Comment[other]	Term Source REF	Term Source ID	Comment[other]	Term Source REF	Term Source ID
1	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	gl1	water	EFO	OBI:CHEBI_15377	6	UO	UO:0000032
10	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	D	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	UO	UO:0000032
11	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp1	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	UO	UO:0000032
12	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp2	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	UO	UO:0000032
13	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	gl1	water	EFO	OBI:CHEBI_15377	12	UO	UO:0000032
14	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	pen2	water	EFO	OBI:CHEBI_15377	12	UO	UO:0000032
15	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	40	water	EFO	OBI:CHEBI_15377	12	UO	UO:0000032
16	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	D	water	EFO	OBI:CHEBI_15377	12	UO	UO:0000032
17	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp1	water	EFO	OBI:CHEBI_15377	12	UO	UO:0000032
18	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp2	water	EFO	OBI:CHEBI_15377	12	UO	UO:0000032
19	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	gl1	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	UO	UO:0000032
2	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	pen2	water	EFO	OBI:CHEBI_15377	6	UO	UO:0000032
20	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	pen2	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	UO	UO:0000032
