[MSI]	
Submission Title	Metabolic and transcriptional response of Arabidopsis thaliana wildtype and mutants to Phytophtora infestans	
Submission Identifier	GSB-68	
Submission Description	The oomycete P. infestans is the causal agent of late blight, the most devastating potato disease. In contrast to potato, A. thaliana is able to successfully prevent colonization of the pathogen due to a multi-layered nonhost resistance. Several mutants have been isolated which are impaired in penetration resistance. We used six different plant lines, the wildtype-like gl1, and the five different mutants (pen2, pen2erp1, pen2erp2, erp2D, erp140).	
Submission Version	1.2	
Submission Reference Layer	false	
Submission Release Date	2014/03/19	
Submission Update Date	2014/03/19	
Publication PubMed ID	23072470	
Publication DOI	
Term Source Name	EFO	NCBITaxon	UO	PO	
Term Source URI	http://bioportal.bioontology.org/ontologies/50608	http://bioportal.bioontology.org/ontologies/47845	http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=UO	http://bioportal.bioontology.org/ontologies/50642	
Term Source Version	50608	47845	Jun 2010	50642	
	
[SCD]	
Sample Name	Sample Accession	Organism	Term Source REF	Term Source ID	Characteristic[organism part]	Term Source REF	Term Source ID	Characteristic[genotype]	Characteristic[Treatment]	Term Source REF	Term Source ID	Characteristic[Sampling time]	Unit	Term Source REF	Term Source ID	
1	SAMEA2630391	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	gl1	water	EFO	OBI:CHEBI_15377	6	hour	UO	UO:0000032	
10	SAMEA2630430	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	D	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	hour	UO	UO:0000032	
11	SAMEA2630418	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp1	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	hour	UO	UO:0000032	
12	SAMEA2630411	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp2	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	hour	UO	UO:0000032	
13	SAMEA2630429	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	gl1	water	EFO	OBI:CHEBI_15377	12	hour	UO	UO:0000032	
14	SAMEA2630378	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	pen2	water	EFO	OBI:CHEBI_15377	12	hour	UO	UO:0000032	
15	SAMEA2630401	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	40	water	EFO	OBI:CHEBI_15377	12	hour	UO	UO:0000032	
16	SAMEA2630385	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	D	water	EFO	OBI:CHEBI_15377	12	hour	UO	UO:0000032	
17	SAMEA2630410	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp1	water	EFO	OBI:CHEBI_15377	12	hour	UO	UO:0000032	
18	SAMEA2630421	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp2	water	EFO	OBI:CHEBI_15377	12	hour	UO	UO:0000032	
19	SAMEA2630383	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	gl1	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	hour	UO	UO:0000032	
2	SAMEA2630398	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	pen2	water	EFO	OBI:CHEBI_15377	6	hour	UO	UO:0000032	
20	SAMEA2630412	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	pen2	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	hour	UO	UO:0000032	
21	SAMEA2630414	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	40	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	hour	UO	UO:0000032	
22	SAMEA2630403	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	D	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	hour	UO	UO:0000032	
23	SAMEA2630382	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp1	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	hour	UO	UO:0000032	
24	SAMEA2630424	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp2	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	hour	UO	UO:0000032	
25	SAMEA2630413	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	gl1	water	EFO	OBI:CHEBI_15377	6	hour	UO	UO:0000032	
26	SAMEA2630386	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	pen2	water	EFO	OBI:CHEBI_15377	6	hour	UO	UO:0000032	
27	SAMEA2630402	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	40	water	EFO	OBI:CHEBI_15377	6	hour	UO	UO:0000032	
28	SAMEA2630381	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	D	water	EFO	OBI:CHEBI_15377	6	hour	UO	UO:0000032	
29	SAMEA2630377	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp1	water	EFO	OBI:CHEBI_15377	6	hour	UO	UO:0000032	
3	SAMEA2630384	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	40	water	EFO	OBI:CHEBI_15377	6	hour	UO	UO:0000032	
30	SAMEA2630406	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp2	water	EFO	OBI:CHEBI_15377	6	hour	UO	UO:0000032	
31	SAMEA2630393	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	gl1	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	hour	UO	UO:0000032	
32	SAMEA2630394	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	pen2	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	hour	UO	UO:0000032	
33	SAMEA2630380	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	40	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	hour	UO	UO:0000032	
34	SAMEA2630435	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	D	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	hour	UO	UO:0000032	
35	SAMEA2630409	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp1	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	hour	UO	UO:0000032	
36	SAMEA2630404	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp2	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	hour	UO	UO:0000032	
37	SAMEA2630379	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	gl1	water	EFO	OBI:CHEBI_15377	12	hour	UO	UO:0000032	
38	SAMEA2630368	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	pen2	water	EFO	OBI:CHEBI_15377	12	hour	UO	UO:0000032	
39	SAMEA2630423	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	40	water	EFO	OBI:CHEBI_15377	12	hour	UO	UO:0000032	
